claim_id,status,verification_status
SWARM-CLAIM-001,qualified,unverified
SWARM-CLAIM-002,verified,verified
SWARM-CLAIM-003,verified,verified
SWARM-CLAIM-004,verified,verified
SWARM-CLAIM-005,verified,verified
SWARM-CLAIM-006,verified,verified
SWARM-CLAIM-007,verified,verified
SWARM-CLAIM-008,verified,verified
SWARM-CLAIM-009,verified,verified
SWARM-CLAIM-010,verified,verified
SWARM-CLAIM-011,verified,verified
SWARM-CLAIM-012,verified,verified
SWARM-CLAIM-013,verified,verified
SWARM-CLAIM-014,qualified,qualified
